name,Lat,Longitude,Height,Description
Zarima,13.3394917,37.8768433,2,9 to 12
Adiarkaye Atek/mesenado,13.4515483,38.05529,2,9 to 12
Mekan Berhan,13.0111921,38.1047648,2,9 to 12
Wasel,12.9647148,38.2653701,2,9 to 10
Cherahiena,13.1853283,37.7729817,2,9 to 10
Dabat general,12.9669768,37.7544932,2,9 to 10
Dabat Mesenado,12.982886,37.7631271,2,11 to 12
Weken secondary,13.0566743,37.8188894,2,9 to 12
Abderafi,13.7006663,36.4713723,2,9 to 12
Abirihajira,13.4650988,36.4856273,2,9 to 12
Keraker,13.359896,37.383932,2,9 to 12
Sroka,13.3606088,37.0137548,2,9 to 10
Lemat Ber,12.6025,37.3772,2,9 to 12
wyenoch hulteig draija,12.6405,37.3188,2,9 to 12
Chache kuna,12.7458,37.4164,2,9 to 12
Amba Georgis,12.7682517,37.619105,2,9 to 12
Gedebeye,12.8770283,37.7403683,2,9 to 12
Selary,12.7416,37.9847,2,9 to 12
Asetereyo mida,12.6484383,37.6163417,2,9 to 12
Maksegnit,12.388,37.5553,2,9 to 12
Guzara,12.2602933,37.6255217,2,9 to 12
Abene semera,12.5058067,37.6152183,2,9 to 10
Dgoma,12.4033783,37.6953317,2,9 to 10
Koladeba General Sec.,12.429115,37.340645,2,9 to 10
Chuahite,12.3346183,37.2286383,2,9 to 12
Aymoba,12.2955,37.4086,2,9 to 12
znegage,12.3218217,37.3893883,2,9 to 12
Sankisa,12.39799783,37.1124365,2,9 to 12
Aykele Mesenado,12.5459439,37.0680388,2,11 to 12
Chenchok,12.6677117,37.1410933,2,9 to 12
Seraba Secondary School,12.5268039,37.0375179,2,9 to 12
Ayikel Secondary School,12.553258,37.0673682,2,9 to 10
Antra,12.552775,37.062135,2,9 to 10
Chanedeba,12.4012964,37.0336233,2,9 to 12
Negadie Bahere,12.5853,36.7698,2,9 to 12
Shenfa,12.5748,36.1362,2,9 to 10
Kakete,12.8814252,36.2557966,2,9 to 12
Gelegu,12.2182359,35.8922215,2,9 to 12
Shahura,11.9324753,36.872282,2,9 to 12
Dengel Bere,11.9468021,36.9979222,2,9 to 12
atsede mariyam,12.013515,36.843115,2,9 to 10
Arbaya,12.4713045,37.822539,2,9 to 12
Robite bogale,12.633,37.8936,2,9 to 12
ashekore terara,12.4423098,37.7541039,2,9 to 10
Guhela,12.4067783,38.0878733,2,9 to 10
Zuye hamusit,12.5328617,38.1744067,2,9 to 10
Dejaje meda,13.4513035,38.3833716,2,9 to 12
Delfena,12.9932628,37.2932952,2,9 to 12
Masro,12.9204442,37.0411332,2,9 to 12
rase amerawu,12.8804217,37.3558167,2,9 to 12
Delgie mesnado,12.2018033,37.0503667,2,9 to 12
Dekularba,12.1005,36.9215,2,9 to 12
Alisefer,12.202,37.0496,2,9 to 10
Metema Gen.sec. & Preparatory,12.7864389,36.4044704,2,9 to 12
Millinium 2000,13.1449138,37.8948262,2,1 to 10
Debark Mesenado,13.1567537,37.9060935,2,9 to 12
Selamaya sanko,12.1140038,38.1587146,2,9 to 10
Worku Jember mtasebiya,12.2218,38.1439,2,9 to 12
Aja,12.0178,38.2096,2,9 to 10
Balarebe,12.3067889,38.2705652,2,9 to 10
Zeha,12.0731,37.9834,2,9 to 10
Addis Zemen,12.1182005,37.7729635,2,9 to 10
Michea'el Debir,12.1764711,37.80093,2,1 to 10
Addis Zemen mesenado,12.1162996,37.772092,2,11 to 12
Ambo Meda,12.1129,37.8956,2,9 to 10
Addis ray,11.9155717,37.7881817,2,9 to 12
Alember,11.917,37.8905,2,9 to 12
Meneguther,11.8382,37.7569,2,9 to 10
fogra,11.9255,37.7078,2,9 to 10
